name,id,tier,tech/manufacturer,rarity,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
#独特内置船插,,,,,,,,,,,,,,,,,,
Javelin Targeting Radar,aEP_BBAdjustRange,0,FSF Design,,,,0,,TRUE,,0,0,0,0,data.hullmods.aEP_BBAdjustRange,"An integrated LIDAR on the Javelin-Class provides the required targeting solution for this warship in an unorthodox manner, one that is not compatible with conventional targeting systems. This ship's beam weapon range is increased by %s.",,graphics/hullmods/ecm_package.png
Tugboat,aEP_Tugboat,0,FSF Design,,,,0,,TRUE,,0,0,0,0,data.hullmods.aEP_Tugboat,This ship can act as a tugboat. Increases the maximum burn level of one of the slowest ships in the fleet to the same as this ship.,,graphics/hullmods/repair_gantry.png
Type-28 Shield Generator,aEP_Type28Shield,0,unknown,,,,0,,TRUE,,0,0,0,0,data.hullmods.aEP_FighterSpecial,"A logically miscalculated gamma core adds a separate shield generator module to the hull, with a module size almost equal to the size of the destroyer giving it excellent shield efficiency at the cost of flux upkeep. No shield hullmods can be installed atop this modification.",,graphics/aEP_hullmods/aEP_HL_multi_turret.png
Cruise Missile Carrier,aEP_CruiseMissileCarrier,0,FSF Design,,,,0,,TRUE,,0,0,0,0,data.hullmods.aEP_CruiseMissileCarrier,"Loads FSF Cruise Missiles from the cargo hold, which then can be fired in the overworld.",,graphics/aEP_hullmods/aEP_CM_carrier.png
Spin Module,aEP_SelfRotate,0,FSF Design,,,,0,,TRUE,,0,0,0,0,data.hullmods.aEP_SelfRotate,The ship's modules will rotate around the mothership at a certain speed.,,graphics/aEP_hullmods/aEP_self_rotate.png
Module Orientation,aEP_ModuleTargeting,0,FSF Design,,,,0,,TRUE,,0,0,0,0,data.hullmods.aEP_ModuleTargeting,The ship's modules will act in sync with installed hullmods.,,graphics/aEP_hullmods/aEP_self_rotate.png
Offensive Mothership,aEP_AttackCarrier,0,FSF Design,,,,0,,TRUE,,0,0,0,0,data.hullmods.aEP_AttackCarrier,"The ship is specially adapted to launch heavy fighters at targets over long distances, and the fighters are fitted with pre-installed resonance modules to operate at the drive stance generated by the mothership rails.",,graphics/aEP_hullmods/aEP_heavy_fighter_carrier.png
Structural Protection,aEP_Structure,0,FSF Design,,,,0,,TRUE,,0,0,0,0,data.hullmods.aEP_FighterSpecial,"Gain additional armor and hull damage reduction, with weapons and engines taking less damage.",,graphics/aEP_hullmods/aEP_self_rotate.png
Martyrdom Damage Reduction,aEP_Module,0,FSF Design,,,,0,,TRUE,TRUE,0,0,0,0,data.hullmods.aEP_FighterSpecial,Reduces the damage done by Martyrs to 1 percent.,,graphics/aEP_hullmods/aEP_self_rotate.png
